Time (s),Position Error (m)
0.009080171585083008,-5.298572056444684e-06
0.06145787239074707,-0.0008896804924694024
0.11464619636535645,-0.0011235420050640377
0.16855096817016602,-0.0004356776521065031
0.22165703773498535,-0.0006022662711310245
0.2735888957977295,0.0002702883686691582
0.32691216468811035,-0.0009467267919218703
0.37987589836120605,0.0004362778669291245
0.4326753616333008,0.0006068905021134885
0.4860422611236572,0.0018070880731599903
0.5387709140777588,0.0017252787319829155
0.5915064811706543,0.0013438463343889984
0.6443116664886475,0.000704875870222943
0.6975622177124023,0.00019792488130021546
0.7506194114685059,-0.0002239839132464061
0.8039438724517822,-0.0007761835159080244
0.8567707538604736,-0.0012520847347256003
0.9093918800354004,-0.0037568092163171585
0.9632699489593506,-0.003326356412277409
1.016185998916626,-0.0026287325221057145
1.0689570903778076,-0.00024216794193232527
1.1207106113433838,-0.0031164146869051557
1.1727795600891113,-0.00217725228307597
1.2256286144256592,-0.0024286009429408395
1.278785228729248,-0.0014930435910968098
1.3314671516418457,-0.002221484962403486
1.3830740451812744,-0.010532089420661306
1.4349300861358643,-0.006643046885990822
1.4873812198638916,-0.006229389939432339
1.5402991771697998,-0.0063831509242524564
1.5936579704284668,-0.014853263398146521
1.6467101573944092,-0.01217154792500974
1.6997241973876953,-0.005046879276499383
1.7528154850006104,-0.0061553680144342815
1.805692195892334,-0.02119351550827253
1.8593635559082031,-0.018015561361634513
1.9121482372283936,-0.01565607847377848
1.9667859077453613,-0.009513017129584633
2.018754482269287,-0.006205664354790308
2.07192063331604,-0.0063249872782361605
2.123633623123169,-0.0021080908105165497
2.177046537399292,0.0008194599209330189
2.2297301292419434,0.001002313549042566
2.2839207649230957,0.00019253162467569584
2.337648391723633,-0.000554976237970517
2.3913896083831787,-0.001334655590182643
2.444195032119751,-0.004111062354323014
2.4990713596343994,-0.00516651372583643
2.5520191192626953,-0.004448761775069587
2.6053497791290283,-0.0013417836687159568
2.658170461654663,-0.004177940807453373
2.7108170986175537,-0.004552165647538686
2.76348876953125,-0.005366194193659135
2.8166651725769043,-0.0021299972196222594
2.8696908950805664,-0.0015088057778128716
2.9225168228149414,-0.002284664769566347
2.9757792949676514,-0.0007072473391763756
3.0285778045654297,-0.0023034490374288508
3.0827748775482178,-0.0003711087059597995
3.1362826824188232,-0.0004196142729627761
3.1890628337860107,0.000372479320014496
3.241743326187134,0.00047560274154934135
3.294473886489868,0.00013400249347861326
3.349647045135498,-7.501013030986048e-05
3.4028706550598145,-0.0008937868779445024
3.4555892944335938,-0.0014860608292099897
3.508204460144043,-0.0012694961847955488
3.560823440551758,-0.001836593802772457
3.613539934158325,-0.001424518183127499
3.6666595935821533,-0.001679089669906153
3.7197306156158447,-0.005150591980010222
3.773712158203125,-0.005037049343426969
3.8271336555480957,-0.00440782735041334
3.8790266513824463,-0.005667396227659327
3.932844400405884,-0.01137638504932037
3.986384153366089,-0.010826483452748725
4.039226055145264,-0.009983876357624322
4.092731714248657,-0.005977938647228398
4.145641088485718,-0.006295841781286393
4.2003326416015625,-0.004742766990802005
4.254326105117798,-0.0034172365929933113
4.307583332061768,-0.0028042346938451645
4.360624551773071,-0.003189028535841576
4.413562536239624,-0.007253413776190931
4.4673566818237305,-0.007997073212742123
4.520935535430908,-0.006932299087203941
4.573834180831909,-0.009486549845592496
4.627366542816162,-0.006070332290159297
4.680302619934082,-0.004731608940342191
4.733198165893555,-0.00533291063900776
4.786337614059448,-0.008612034139821478
4.839067459106445,-0.006802508052778267
4.892502784729004,-0.005177508009568399
4.944261312484741,-0.003964006374092333
4.997138977050781,-0.008859567034656846
5.050332546234131,-0.007244725334750346
5.102933883666992,-0.006146438081923389
5.1555397510528564,-0.0059956467064337104
5.208306789398193,-0.008641016898698506
5.260820627212524,-0.00872571650480436
5.313597917556763,-0.005649055066009212
5.3663859367370605,-0.0038083959685255575
5.4194934368133545,-0.00944031978562443
5.470895528793335,-0.009597102529736945
5.5226898193359375,-0.006186932243860521
5.576063632965088,-0.0041550172814224795
5.628859281539917,-0.00272022807855965
5.68257212638855,-0.006797513717741566
5.735616683959961,-0.005417581836020646
5.789040803909302,-0.004235135449354832
5.841733932495117,-0.004413064000394151
5.89425802230835,-0.0035032012494864984
5.947237253189087,-0.0017024608754710457
5.999914884567261,-0.002793778280091863
6.053041458129883,-0.0037895612957206115
6.105738401412964,-0.003738238213979006
6.158756256103516,-0.002178391717106043
6.211500406265259,-0.0015221388088655363
6.264512538909912,-0.0009062800186664943
6.3171586990356445,-0.0006530802796719803
6.369781255722046,-0.001758620600422811
6.4222729206085205,-0.0015078583621991881
6.475000858306885,-0.0019270286253438296
6.5274436473846436,0.0029106850673554785
6.581456899642944,0.00650451556526771
6.635534048080444,0.004302476461188087
6.688994407653809,0.0014371849146759819
6.74188494682312,0.004185040682822716
6.794621229171753,0.004559124166333972
6.849555015563965,0.0030830941207984353
6.901233434677124,0.0026390565719300874
6.953025579452515,0.008523812123934549
7.004790544509888,0.008540145712867375
7.056454658508301,0.004961406345701136
7.1082563400268555,0.004848692045092973
7.160909175872803,0.005362788590829282
7.212511777877808,0.006880786035582065
7.267254590988159,0.005367896381547832
7.32159161567688,0.00431137611252852
7.374962329864502,0.0047003938642461995
7.426646709442139,0.0037319088631653785
7.478441953659058,0.004071072056609171
7.5317487716674805,0.0013496428481829525
7.58142876625061,0.005736668215237606
7.632729530334473,0.005796824279154178
7.684588432312012,0.004235216667448638
7.736703634262085,0.004192565949989846
7.789560317993164,0.005287206124471366
7.842998266220093,0.005537318624229348
7.895885229110718,0.00458243318880347
7.949920892715454,0.0029733832915229685
8.003385305404663,0.004332817533914124
8.056224822998047,0.004532729491750653
8.109599828720093,0.005441858927759391
8.161392450332642,0.005998542542895002
8.216715097427368,0.008149191875790107
8.269993305206299,0.034225957161635456
8.322611093521118,0.031810897634477975
8.374260425567627,0.02690663308903596
8.427763223648071,0.02737775764947592
8.480688333511353,0.020527845250235988
8.533702850341797,0.008668134694716834
8.58686900138855,0.005670842874226589
8.639933347702026,0.019132865950417965
8.69307017326355,0.013405769137543655
8.744936466217041,0.009590928076925853
8.799901723861694,0.01803121220302706
8.852819204330444,0.014150586887372474
8.905906438827515,0.015123490231799042
8.95778775215149,0.007056345153167554
9.011048078536987,0.00497322209082407
9.062700748443604,0.008292112139253738
9.114944458007812,0.004190525931659694
9.168712377548218,0.002130103170080111
9.221523523330688,0.002608980261111893
9.274481773376465,0.002132829077873044
9.327756404876709,0.004179157016127588
9.379364252090454,0.0005041436328810933
9.433151245117188,-0.0011042913828208656
9.485897541046143,-0.0007463455101401895
9.539543628692627,-0.003117808376318365
9.59226107597351,-0.0007819553828026793
9.644940853118896,0.0006223146127160017
9.697548151016235,0.0008244049268497644
9.750383615493774,-0.0013140919469458723
9.803654670715332,-0.00022493982016691394
9.856579065322876,0.0017167682475650592
9.910967111587524,-0.007477900681321481
9.96415400505066,-0.007110007817965558
10.016726970672607,-0.0030624532743175337
10.068544626235962,-0.0029266233372622352
10.12163257598877,-0.0034717124315319925
10.17419695854187,-0.010074532418541504
10.22691822052002,-0.007795085207287777
10.279676675796509,-0.006562862257493585
10.334660530090332,-0.008419488967526978
10.388315916061401,-0.0037629730917698723
10.440699338912964,-0.0015815275643429327
10.492513179779053,0.001667422245085759
10.545249462127686,0.001146502187717946
10.598646879196167,0.002618270600048378
10.65144658088684,0.004667038220847464
10.705040216445923,0.0029012325251184246
10.757721424102783,0.003215473294643778
10.81044054031372,0.005587399008310179
10.86430835723877,0.0039537523405414055
10.91730546951294,0.004027956545278988
10.970605611801147,0.002951438812131779
11.02337384223938,0.005620471669287808
11.076646566390991,0.004591364111927176
11.129283905029297,0.0023695107056984632
11.183355331420898,0.0013063486091379195
11.236863136291504,0.0020046965971137753
11.288912534713745,0.0024586772890610176
11.342358112335205,0.002735211268804827
11.39513349533081,0.002935130199418823
11.447680711746216,0.002258209150618029
11.50052261352539,0.0006662887504544912
11.553665399551392,-0.0007968645702832733
11.606610298156738,-0.0018946409207857284
11.65925669670105,-0.0018095093395428252
11.712128162384033,-0.0011690556276358066
11.765519380569458,-0.0012462062697951026
11.818236827850342,-0.0017121499908149262
11.87182331085205,-0.0023555504954257955
11.924642562866211,-0.002141197262561123
11.976558685302734,-0.001942240732233591
12.027954578399658,0.0003176564777330748
12.081021308898926,-0.0022932110272897432
12.134591341018677,-0.0028374933609187636
12.187074899673462,-0.001734344295778456
12.239673614501953,-0.0014609857689885652
12.29125714302063,-0.003786059678490439
12.343541622161865,-0.003699496855106177
12.396463394165039,-0.004891519650246701
12.44861912727356,-0.004337765615988531
12.50258469581604,-0.0051456364174330416
12.555176496505737,-0.006281714549376649
12.606984615325928,-0.004490481935584212
12.660343647003174,-0.004494496094721079
12.71312665939331,-0.0019479159650201971
12.767023801803589,-0.003978390128973719
12.82023024559021,-0.0036246629492383553
12.873061656951904,-0.0028845856764762035
12.924723863601685,-0.002943940302553072
12.977280616760254,-0.003737614673603895
13.029977560043335,-0.003957726133317241
13.084872484207153,-0.003296755221710801
13.133557558059692,-0.00327853605645545
13.186549663543701,-0.006526617848756189
13.239793300628662,-0.00617726564829113
13.291720867156982,-0.004289570618650207
13.344313383102417,-0.008874521723932438
13.395522594451904,-0.008641449684420377
13.447664260864258,-0.0054439197599746025
13.501599550247192,-0.0043449378162665475
13.555806636810303,-0.009543229165540179
13.60917615890503,-0.010796380651177384
13.661903619766235,-0.007620569223422025
13.714681148529053,-0.005856146189663125
13.767711400985718,-0.006483631863627881
13.820897579193115,-0.010920587641387702
13.87379002571106,-0.008458859119923723
13.927103042602539,-0.006439245216737
13.978991031646729,-0.010624645288496937
14.032559394836426,-0.010438649128354016
14.085722208023071,-0.006289773769346696
14.1386559009552,-0.004507727027938224
14.191358089447021,-0.0026504251207709606
14.243977546691895,-0.0089899397557055
14.295630931854248,-0.0038811316695180897
14.351664304733276,-0.0038896750193178065
14.405829668045044,-0.00015108015965703547
14.459142208099365,0.001728351576560705
14.51091194152832,0.0010082646379965254
14.564895868301392,0.0020339684303128935
14.617689371109009,0.0013167691757391964
14.670877456665039,0.0028659985631788176
14.723563194274902,0.0025867990978971633
14.775548696517944,0.002535963104256078
14.826842069625854,0.0008669298004615467
14.877968549728394,0.00022980117332715988
14.929072380065918,0.0002021064494075464
14.980947732925415,0.0007315384738433295
15.034858703613281,0.0011716985563199334
15.088051080703735,0.0008454705452048961
15.140790224075317,4.596398523237788e-06
15.192610263824463,-0.00047554267574201337
15.245399713516235,-0.0023995251266076822
15.300691604614258,-0.00595602014793406
15.353318214416504,-0.00392722686430147
15.405221223831177,-0.0035866746895489854
15.45670747756958,-0.003091041240106618
15.509055852890015,-0.002691385086365683
15.560828447341919,-0.0005683242457438231
15.613664627075195,0.0010131335915638529
15.668329954147339,0.0009150253109340145
15.722660064697266,0.001179952472872614
15.776052474975586,0.00031831909857149565
15.828794479370117,-0.004878228242485294
15.884205341339111,-0.005025716914114131
15.937816143035889,-0.0061266253054339526
15.990676879882812,-0.004800996521865386
16.04402208328247,-0.002496936624045043
16.09676480293274,-0.0030727635258683828
16.15183663368225,-0.001404837636517886
16.206214666366577,0.0019003776293254893
16.259584426879883,0.0028973277584404267
16.31216073036194,0.0017336650014766475
16.365965604782104,0.0004649551960952403
16.417782306671143,-0.0004319709001051608
16.470879077911377,-0.00026320024358328364
16.52272629737854,-0.00023100300719303135
16.576159715652466,-0.0013867296545486685
16.6287899017334,-9.896409153298258e-05
16.68182921409607,0.003259464866451456
16.734631299972534,0.003509966410705112
16.78827738761902,0.005513628154465433
16.84111714363098,0.004840976052439272
16.892959117889404,0.002889618342041378
16.945935487747192,0.0024385915818302406
17.002036571502686,0.0013635556272832972
17.05625081062317,0.005387098200415719
17.10954713821411,0.004665385086941476
17.16255784034729,0.006508984260150563
17.217791080474854,0.009738287862187112
17.272725343704224,0.008845889631012405
17.325498580932617,0.00696000742635694
17.37892723083496,0.004848341538237877
17.43182134628296,0.010820398393811215
17.48470163345337,0.01029701810197714
17.538015365600586,0.009814215486655176
17.590637922286987,0.005989812722855148
17.642942905426025,0.007755494370751181
17.69463062286377,0.010169010690732172
17.74629521369934,0.00820356531343669
17.80110788345337,0.00800408552958276
17.856221437454224,0.012523933791148578
17.909674882888794,0.011915042835792033
17.96252155303955,0.007989958195818048
18.015231609344482,0.009523379114368624
18.068252325057983,0.007412286139765301
18.121334552764893,0.011418574114781421
18.174227714538574,0.009422981161037125
18.227567195892334,0.007942974513916568
18.279435634613037,0.008574154852286409
18.335378646850586,0.01323101777176583
18.389588356018066,0.013364583187171708
18.443055152893066,0.010042311336597942
18.495820999145508,0.011490803482933076
18.551028728485107,0.0140685700171167
18.605007886886597,0.013634601951857395
18.657843112945557,0.007750071774283551
18.71255326271057,0.008185976500701742
18.764617919921875,0.012854250113041199
18.817023992538452,0.009944951084828069
18.86986017227173,0.0051165866257879555
18.92260479927063,0.005236886370089233
18.975584506988525,0.012802299898613811
19.028935194015503,0.007424052980542495
19.081697463989258,0.002494788624586186
19.135685205459595,0.004948480970466851
19.1898672580719,0.005896440958287341
19.243250131607056,0.006362631592477519
19.29616904258728,0.0029397774691207745
19.351494312286377,0.0030056668188461755
19.40491008758545,0.002504430397818891
19.457523107528687,0.0033257060044821207
19.510188341140747,0.005725902310438347
19.56243872642517,0.004941031790120953
19.61554217338562,-0.28475626225851913
19.66857933998108,-0.25855093017165753
19.721601963043213,-0.22457538689501566
19.774556875228882,-0.1795024110239265
19.82775330543518,-0.14621054403337208
19.879512548446655,-0.14009308545963994
19.93293046951294,0.009925878604717386
19.986841917037964,0.06644586927710172
20.039883852005005,0.09970776764557604
20.093538761138916,0.12523775208772514
20.145914316177368,0.14748159944797468
20.201258897781372,0.14717887826660825
20.25443124771118,0.1434713357405833
20.307595014572144,0.13124728294835053
20.360188722610474,0.10930257797633441
20.412287712097168,0.07843204058668568
20.463730335235596,0.05950290571377759
20.516252756118774,0.06655096852184683
20.569181203842163,0.07336401679064208
20.62149214744568,0.07752032991236635
